"Exact
age (x)",Male,,,Female,,,,,,,,,,,,,,
,"Death(qx)
probability a","Number of(lx)
lives b","Life(ex)
expectancy","Death(qx)
probability a","Number of
lives b(lx)","Life(ex)
expectancy",Probability of Survival (px),Survivor's next age (lx+1),Deaths (dx),,,,,,,,,
0,0.006064,"100,000",74.74,0.005119,"100,000",80.18,0.993936,99393.6,606,,,,,,,,,
1,0.000491,"99,394",74.2,0.000398,"99,488",79.6,0.999509,99345.19755,49,,,,,,,,,
2,0.000309,"99,345",73.23,0.00024,"99,449",78.63,0.999691,99314.3024,31,,,,,,,,,
3,0.000248,"99,314",72.25,0.000198,"99,425",77.65,0.999752,99289.37013,25,,,,,,,,,
4,0.000199,"99,290",71.27,0.00016,"99,405",76.66,0.999801,99270.24129,20,,,,,,,,,
5,0.000167,"99,270",70.29,0.000134,"99,389",75.67,0.999833,99253.42191,17,,,,,,,,,
6,0.000143,"99,253",69.3,0.000118,"99,376",74.68,0.999857,99238.80682,14,,,,,,,,,
7,0.000126,"99,239",68.31,0.000109,"99,364",73.69,0.999874,99226.49589,13,,,,,,,,,
8,0.000121,"99,226",67.32,0.000106,"99,353",72.7,0.999879,99213.99365,12,,,,,,,,,
9,0.000121,"99,214",66.32,0.000106,"99,343",71.71,0.999879,99201.99511,12,,,,,,,,,
10,0.000127,"99,202",65.33,0.000111,"99,332",70.72,0.999873,99189.40135,13,,,,,,,,,
11,0.000143,"99,190",64.34,0.000121,"99,321",69.72,0.999857,99175.81583,14,,,,,,,,,
12,0.000171,"99,176",63.35,0.00014,"99,309",68.73,0.999829,99159.0409,17,,,,,,,,,
13,0.000227,"99,159",62.36,0.000162,"99,295",67.74,0.999773,99136.49091,23,,,,,,,,,
14,0.00032,"99,136",61.37,0.000188,"99,279",66.75,0.99968,99104.27648,32,,,,,,,,,
15,0.000451,"99,104",60.39,0.000224,"99,260",65.76,0.999549,99059.3041,45,,,,,,,,,
16,0.000622,"99,060",59.42,0.000276,"99,238",64.78,0.999378,98998.38468,62,,,,,,,,,
17,0.000826,"98,998",58.46,0.000337,"99,211",63.8,0.999174,98916.22765,82,,,,,,,,,
18,0.001026,"98,916",57.5,0.000395,"99,177",62.82,0.998974,98814.51218,101,,,,,,,,,
19,0.001182,"98,815",56.56,0.00045,"99,138",61.84,0.998818,98698.20067,117,,,,,,,,,
20,0.001301,"98,698",55.63,0.000496,"99,094",60.87,0.998699,98569.5939,128,,,,,,,,,
